youtube_id,label
E2rA-Mo7MyU_000034_000044,laughing
AuAnTC7m9aQ_000001_000011,blowing_nose
WJHtV_Ccq7g_000107_000117,playing_drums
KVos7qTCkuU_000304_000314,singing
WFNRqKvrCrA_000050_000060,playing_saxophone
KXQ1ZBVHHmM_000043_000053,laughing
CAf-e4S9gHA_000074_000084,playing_piano
8BG2QE2Y3uY_000003_000013,tapping_pen
gcP1Qa5SdZw_000010_000020,mowing_lawn
Nvbf-Z1Mf_g_000442_000452,playing_bass_guitar
H1qGodOYk2o_000000_000010,playing_bagpipes
OFgdciKWWmo_000005_000015,playing_harmonica
VizHrTUMH6k_000889_000899,tickling
gP4m4MNLhCQ_000094_000104,shoveling_snow
eAHYZqII8i4_000276_000286,playing_bass_guitar
5H6__XDbVOg_000018_000028,playing_trumpet
GccSMC_1TZs_000004_000014,playing_piano
b4I5mWgMeKI_000277_000287,playing_saxophone
R0pfO5YF07g_000008_000018,playing_harmonica
fUYk7avVL5Y_000022_000032,playing_violin
ALZqVPcFbi0_000001_000011,mowing_lawn
epB_-RTSetw_000165_000175,tickling
SGlrm7d0VwQ_000009_000019,ripping_paper
H4un_w-jFNA_000237_000247,playing_bass_guitar
aVMP6Q71NH8_000048_000058,playing_saxophone
SvYwmsjVZDU_000073_000083,playing_violin
QayqsHUdmik_000005_000015,playing_trumpet
2V1l6w2s9uw_000018_000028,mowing_lawn
-yGyuo_jONs_000014_000024,playing_bagpipes
hBMHZ5-1m_k_000220_000230,playing_keyboard
NxtNtyLs-0M_000001_000011,playing_trumpet
DRXyEUi61fc_000109_000119,tapping_guitar
fz0ZHvBZOOQ_000124_000134,singing
a7raYjjs3-c_000062_000072,playing_bass_guitar
X4AgYDUkGe8_000048_000058,playing_violin
Bmm7JUb1YLo_000350_000360,playing_harmonica
dL-O9RLSAso_000014_000024,playing_guitar
_ydUScfXRjs_000001_000011,playing_saxophone
2gxDaP7L9mg_000000_000010,blowing_nose
OuxRZKDaoV8_000017_000027,singing
OuKHTNQPZBw_000235_000245,playing_bass_guitar
8fXQOYJpHYE_000049_000059,tapping_guitar
4l--TlI3k_E_000040_000050,tap_dancing
SWugpV8P9HI_000069_000079,shoveling_snow
M_3o7YW5C0w_000001_000011,tickling
YDTB6MG1Nvo_000208_000218,playing_guitar
gqzqcL0lNvw_000010_000020,blowing_out_candles
Um25TC8xJmM_000108_000118,playing_clarinet
Yn5fNKoSBgc_000003_000013,playing_organ
_YX_EvtuImI_000219_000229,playing_drums
Fm7DrFPMz-o_000057_000067,tapping_pen
Pho3ogd_umQ_000065_000075,playing_xylophone
14LpqkFfn94_000040_000050,playing_trumpet
9Y1YLlSD_ic_000182_000192,shuffling_cards
Mfo8ip_pHHk_000003_000013,playing_clarinet
30yKB4Xdbxw_000072_000082,chopping_wood
2Wek5108ijQ_000002_000012,blowing_out_candles
OCbRn1b5ctY_000001_000011,playing_trumpet
7eyqQkvQSic_000015_000025,blowing_out_candles
9cKL3vXLe3Q_000003_000013,playing_harmonica
QnDfFeAm3Zw_000060_000070,shuffling_cards
DpTZMFv81xs_000052_000062,mowing_lawn
NNa8kCSVJ4g_000093_000103,playing_guitar
HZPR7c2vkwI_000309_000319,playing_bass_guitar
3SE2qI593Iw_000065_000075,tapping_pen
Czo9ULxwcUk_000027_000037,bowling
J3o0vuPS5NM_000040_000050,playing_trombone
IelSW1oYros_000054_000064,tapping_guitar
VP0voZiRO5g_000001_000011,bowling
PdnRbW1J9T8_000153_000163,playing_bass_guitar
UmWRKaRyt1Q_000002_000012,playing_keyboard
0M4c-KFH9Bg_000090_000100,playing_piano
SsGAiov-9fg_000003_000013,ripping_paper
OwaHp-vrcI8_000033_000043,playing_trombone
8Lhcdgf3Ruo_000269_000279,singing
6Ivmc7Ocijk_000046_000056,tapping_guitar
XQcncZI3kjI_000002_000012,playing_violin
-c7TtG--GTc_000050_000060,mowing_lawn
ZAR4avwfW34_000047_000057,playing_guitar
-MMxEvltTLo_000024_000034,playing_guitar
1xbxPZPZdYU_000014_000024,playing_clarinet
c-Q6EZZdVy0_000004_000014,playing_bagpipes
1zUMvLUxfpE_000035_000045,playing_violin
4t3XIqXmW1c_000018_000028,playing_xylophone
L1-6Jouce3E_000012_000022,shuffling_cards
Adrc7Q9ixEU_000036_000046,playing_guitar
_NSu78HQtwI_000004_000014,mowing_lawn
hCr3L5ObzuI_000130_000140,playing_saxophone
gOAlzLerTKU_000060_000070,playing_trombone
TgOdwIfRp64_000000_000010,playing_violin
avWQmoGokfg_000009_000019,playing_xylophone
Cp8yK6wqkRg_000001_000011,chopping_wood
esMy6HLrrPY_000030_000040,playing_bagpipes
O_jxsPzQfwM_000000_000010,stomping_grapes
TjETBJsSPd4_000015_000025,singing
ELLNAdbL9uc_000059_000069,chopping_wood
C9ayFMqreGk_000080_000090,playing_piano
2f2IKTkMlRk_000162_000172,playing_organ
Sftt3I4Ouew_000115_000125,laughing
EWZoACAXy0Q_000054_000064,playing_saxophone
NJGfo323SFA_000225_000235,playing_trombone
KYoU6zaQW8w_000603_000613,playing_violin
BIzJi3dWmns_000000_000010,playing_xylophone
KXKr7KqR6rI_001344_001354,tickling
K_LleW_pN7A_000095_000105,playing_saxophone
